"puntoVenta,importe,cantidad,temperatura"
"4","731795","8519","29"
"11","860562","4561","6"
"9","851690","9339","15"
"15","158438","8057","23"
"14","436300","4400","-10"
"16","327177","3205","38"
"21","911061","7092","49"
"22","392532","9809","-2"
"12","278040","4169","0"
"12","900832","7643","50"
"5","940107","3682","10"
"8","936261","3205","32"
"21","685354","4239","-1"
"17","967156","369","-5"
"8","763063","4253","39"
"5","287917","4965","-8"
"20","278445","8573","25"
"18","714125","87","32"
"11","732227","1959","22"
"15","427145","2333","0"
"4","90797","5081","-13"
"19","971010","9346","-3"
"15","203132","6553","-10"
"21","278026","9495","-9"
"9","668323","9605","-7"
"16","587425","5983","39"
"12","301985","3076","-15"
"17","958663","3240","14"
"15","519710","5663","39"
"7","129523","4277","-6"
"19","55546","4457","33"
"20","550889","7997","40"
"9","426055","6761","12"
"6","215485","3540","40"
"11","150713","6061","22"
"6","896674","8012","16"
"9","115486","6417","46"
"9","765446","5441","44"
"10","727129","6772","34"
"14","176343","9244","35"
"14","209490","2107","16"
"10","666544","6823","13"
"8","309442","5740","12"
"6","192070","8408","9"
"3","306324","5411","2"
"17","246787","2352","45"
"15","385200","7580","25"
"20","148681","4959","40"
"21","555548","9011","7"
"16","70347","7189","39"
"4","704842","1619","18"
"17","499576","4440","-1"
"12","701951","5566","27"
"2","370805","4928","11"
"15","574566","5652","5"
"10","781103","2721","-11"
"10","912745","5807","23"
"20","581800","545","24"
"6","604957","1274","-5"
"10","674396","7158","6"
"14","672392","224","45"
"11","188143","8264","21"
"22","828429","1426","42"
"23","784089","90","-3"
"13","921669","1804","47"
"3","302040","5802","7"
"3","989191","9809","27"
"19","176388","8392","47"
"21","665692","5117","3"
"15","839331","3893","23"
"8","457756","8290","43"
"20","909225","7872","-10"
"6","919538","8201","13"
"8","208111","9530","22"
"4","147858","5014","-8"
"1","151363","2330","-2"
"15","264660","5203","35"
"5","132781","9722","4"
"14","514541","9678","34"
"10","17246","589","38"
"15","321418","8621","42"
"15","268291","2771","44"
"2","206801","8233","3"
"18","285244","9872","18"
"22","297181","6918","0"
"5","777824","8207","33"
"20","518104","8373","30"
"4","261488","707","13"
"7","140380","8623","30"
"23","640315","3310","27"
"4","682700","4715","-11"
"1","939237","1112","-3"
"2","749927","8090","15"
"16","637043","2183","42"
"17","519924","3190","18"
"7","524379","3084","11"
"19","652068","4634","27"
"21","402162","4387","34"
"10","483001","388","-11"
"21","622894","989","-8"
"4","747660","8803","48"
"6","767375","328","13"
"9","161833","7648","37"
"7","284665","3395","0"
"9","318918","8830","-9"
"6","451088","1416","9"
"15","70906","5017","0"
"6","425172","1654","42"
"7","266769","2851","44"
"13","827191","9786","10"
"14","865671","7236","34"
"4","776508","5600","39"
"3","259688","7031","39"
"5","705607","9916","-2"
"10","763823","9548","41"
"12","777155","6121","13"
"20","568945","9397","28"
"6","708884","1123","9"
"5","208482","4142","10"
"23","769864","8795","-5"
"3","338039","9961","19"
"2","936746","1136","-14"
"13","890445","3137","46"
"17","58995","5610","-12"
"12","192577","5120","44"
"5","714115","6855","-13"
"13","321543","3114","21"
"7","562708","9339","32"
"4","594594","6084","4"
"6","83705","4142","26"
"22","889745","6090","4"
"3","903884","6174","14"
"21","671232","9536","14"
"21","467352","1884","2"
"17","609396","3432","-7"
"11","71443","8471","29"
"21","267456","958","-4"
"14","710613","1934","15"
"8","20662","9380","5"
"19","528932","9668","18"
"20","980998","6165","46"
"1","837008","6697","-5"
"18","669659","2496","-4"
"9","954691","1339","46"
"19","393323","4368","25"
"8","91021","1680","5"
"8","793769","5360","32"
"5","363801","7743","19"
"1","618967","581","20"
"14","154506","5402","32"
"23","565149","8053","10"
"17","351740","4531","-3"
"23","720912","7106","-1"
"3","980994","5359","5"
"8","156013","146","-14"
"23","328788","578","10"
"11","171729","2307","23"
"4","479519","3913","19"
"10","847790","4799","47"
"20","673827","9669","24"
"3","804446","5772","-11"
"10","853881","8419","47"
"16","652191","1426","32"
"21","984280","8672","34"
"6","440033","6335","27"
"15","495167","171","32"
"2","757798","6879","22"
"12","130744","5402","-6"
"2","722098","5136","49"
"18","576616","7029","34"
"12","281624","3231","9"
"20","579188","7057","33"
"21","14020","2085","4"
"8","607824","3855","41"
"8","109319","4321","-14"
"23","906424","9733","8"
"1","811575","9939","19"
"11","245044","5712","19"
"18","595465","5175","-12"
"12","950715","4330","36"
"15","306578","3201","2"
"2","768551","6297","23"
"14","464652","6041","-13"
"22","360488","1546","17"
"5","823351","4795","38"
"12","190983","9373","-4"
"6","79745","1885","49"
"3","28723","7055","3"
"4","79982","233","44"
"17","935661","6648","49"
"18","798251","9629","34"
"16","677654","3522","3"
"3","652977","3311","23"
"4","456442","7011","-5"
"6","494137","1748","33"
"1","173923","7454","14"
"12","567794","4820","44"
"2","873982","9605","44"
"7","426525","2606","44"
"15","313274","4699","47"
"23","788178","6649","44"
"20","513916","2133","16"
"16","501170","7535","2"
"5","310469","2356","-3"
"11","595975","5041","41"
"11","189998","722","30"
"17","384474","2491","-2"
"9","496962","2850","43"
"21","600102","9532","-15"
"12","234584","5893","-12"
"23","137618","8408","9"
"5","534080","4908","-2"
"16","510661","2121","8"
"5","8561","3123","16"
"2","791289","519","12"
"6","736842","9037","-14"
"17","209593","5380","1"
"3","426977","98","21"
"23","766769","9709","-5"
"2","202133","1845","33"
"23","301933","3131","22"
"21","313518","91","-15"
"13","109626","8237","-13"
"17","257926","3829","29"
"3","206129","7910","2"
"1","543915","7468","-7"
"4","306804","321","-7"
"19","761450","1060","10"
"22","914908","7290","46"
"20","169902","1211","30"
"13","326834","8530","20"
"18","468538","9553","9"
"8","661613","5901","-15"
"17","362937","238","47"
"14","912141","9953","21"
"6","835267","3229","49"
"11","46228","7832","-10"
"10","666210","1482","-11"
"23","730175","9505","49"
"2","744829","6050","3"
"16","811557","3184","23"
"10","637151","5192","45"
"3","614649","2489","39"
"16","487746","9478","-1"
"22","684287","5126","32"
"17","627637","9290","49"
"18","376474","4347","0"
"19","828132","527","-2"
"16","879950","3195","2"
"15","511087","2961","21"
"16","519763","1318","38"
"18","253164","8514","-2"
"17","462286","9612","27"
"19","20329","4457","19"
"17","693784","4410","14"
"19","542573","7860","7"
"20","606908","9947","28"
"21","840307","2078","42"
"5","896615","3831","29"
"10","956283","893","-8"
"10","850636","4724","49"
"22","323868","2827","-8"
"1","662044","9752","7"
"17","129581","8210","-2"
"6","293804","2567","-14"
"16","636965","4475","-2"
"12","239144","5849","37"
"8","485763","9515","30"
"6","762867","3036","2"
"8","604334","3951","11"
"23","37379","67","43"
"3","936180","6816","23"
"16","38215","4708","23"
"4","903860","6093","2"
"12","952546","5024","9"
"20","333826","5146","9"
"22","843663","2583","31"
"12","887520","4613","-10"
"7","943162","9703","-8"
"22","597559","8176","4"
"3","95092","3879","48"
"5","33665","1045","38"
"15","170562","4382","37"
"1","689421","4361","-5"
"6","674433","8100","-13"
"9","612819","9791","-10"
"22","720305","8281","-15"
"10","96838","7661","-7"
"6","997931","4069","27"
"16","791958","9556","-2"
"12","956234","1932","-9"
"5","22597","4564","32"
"21","526888","9664","35"
"3","356754","5937","14"
"7","728123","5999","-6"
"10","269012","9855","25"
"21","991026","6898","-10"
"15","158624","7235","41"
"14","958703","3616","33"
"22","741134","192","45"
"9","916903","5200","31"
"22","525655","5620","43"
"1","181495","6892","35"
"7","846433","714","24"
"3","732065","9013","-7"
"15","28916","1107","-6"
"16","607260","7505","1"
"8","348757","8325","2"
"16","189366","2005","-5"
"17","658053","1812","-1"
"7","282701","4931","14"
"9","415355","7131","5"
"5","803268","5160","-2"
"6","781877","1935","42"
"19","833147","5754","-11"
"5","829491","8192","-9"
"16","357586","5790","-7"
"12","164096","3343","-12"
"9","474694","9126","15"
"21","376294","1906","-2"
"8","466017","4838","47"
"8","222795","3131","16"
"13","601648","3815","14"
"12","350602","3612","-14"
"11","550277","7811","-6"
"10","876116","8745","20"
"2","83287","4818","41"
"20","214230","546","40"
"5","782063","5595","2"
"13","977804","2032","24"
"21","476078","5357","12"
"21","204932","1176","12"
"11","229018","2588","31"
"2","141705","8933","1"
"9","510863","5834","21"
"9","867654","2353","13"
"13","917998","3928","11"
"11","476677","8247","10"
"1","560079","322","38"
"8","322807","2440","27"
"20","691292","5892","50"
"10","914175","3954","34"
"13","188965","2746","11"
"15","621624","8439","-4"
"2","322283","7138","29"
"7","218935","5188","14"
"22","960435","8414","42"
"17","106853","2380","0"
"10","535563","2926","20"
"11","101482","9805","6"
"23","657528","7788","14"
"19","738621","1740","25"
"16","804609","183","-14"
"16","540004","678","34"
"19","404704","8726","48"
"13","834794","2064","0"
"8","558507","773","27"
"22","231744","1400","26"
"22","281395","1865","33"
"7","579005","7918","25"
"14","478145","2492","38"
"8","553003","9752","11"
"2","547222","542","13"
"8","388911","5985","12"
"12","178628","1590","26"
"22","243525","1777","-12"
"16","746222","9011","26"
"6","642506","5416","0"
"7","149609","7816","48"
"11","625712","8966","8"
"15","786494","451","46"
"10","556201","1322","20"
"14","392857","5594","1"
"15","387482","1705","17"
"2","800272","9572","-2"
"18","446921","7112","18"
"17","417146","8558","-14"
"3","272668","4421","48"
"19","457924","1234","34"
"20","547117","6641","10"
"21","652305","3543","37"
"18","828889","5887","-11"
"7","181671","7730","4"
"6","205986","5346","19"
"13","978791","8340","19"
"6","298267","9591","6"
"9","555752","5879","8"
"11","729705","708","42"
"20","696291","7154","7"
"2","27741","2037","48"
"3","659880","8745","3"
"4","47411","6560","33"
"1","635838","2449","33"
"18","791239","337","22"
"4","775132","8066","16"
"5","738984","5700","41"
"7","505966","2883","28"
"4","56150","3718","22"
"17","726952","6172","44"
"1","797480","9620","39"
"9","423963","2979","48"
"13","926946","7798","-15"
"22","102263","5246","37"
"10","337721","7367","29"
"15","437910","8925","1"
"21","954434","4225","5"
"23","675398","7598","11"
"18","130787","51","41"
"17","570366","6659","10"
"11","823790","9420","26"
"8","897112","4192","28"
"22","547525","6838","-6"
"21","553433","8428","9"
"3","195017","2060","30"
"5","428996","7432","22"
"9","742816","1982","19"
"1","87065","2737","10"
"14","140212","5335","-11"
"6","921576","427","-15"
"5","831539","2748","15"
"3","35115","7479","34"
"12","391565","8383","-2"
"13","748169","4772","37"
"13","511329","1120","50"
"22","23992","6633","9"
"16","89595","5533","27"
"6","608233","635","15"
"13","839676","2053","-6"
"11","925327","4489","11"
"17","564707","4665","17"
"11","824475","7628","12"
"9","596914","6723","19"
"4","658065","8992","38"
"10","639182","6376","24"
"7","636074","2046","33"
"9","527009","9215","39"
"15","638271","7284","45"
"12","257372","1641","12"
"13","493926","8155","12"
"16","988172","4718","3"
"10","967157","5261","-2"
"9","600896","9923","17"
"2","57181","9754","20"
"11","495312","9414","9"
"5","435562","1767","-14"
"7","403474","6137","42"
"9","866944","6816","-2"
"14","638483","1419","6"
"20","730043","4714","40"
"21","226348","7863","32"
"16","551267","9996","30"
"19","204765","9388","50"
"10","66481","125","43"
"20","128743","3468","3"
"15","234969","2165","-15"
"5","73956","3416","-2"
"14","304896","3278","13"
"5","765913","8404","31"
"23","744178","6431","16"
"1","717092","3663","6"
"20","601919","8994","23"
"14","934610","5641","-4"
"8","123021","1524","50"
"21","792751","921","-15"
"23","787990","6727","9"
"5","10959","2328","-12"
"15","842034","6350","4"
"19","117562","8961","3"
"11","226234","9981","17"
"13","694561","6215","-1"
"14","552719","412","50"
"9","161587","2251","19"
"17","202688","9143","50"
"5","747221","7608","-6"
"23","142277","5192","-8"
"9","762059","1097","0"
"23","362517","9625","30"
"13","900535","9709","-6"
"20","827336","1976","-13"
"1","69492","6141","-14"
"13","499079","7586","0"
"1","776382","1654","26"
"1","688404","6150","0"
"3","397144","3907","34"
"13","384341","210","49"
"5","835065","5985","26"
"3","212027","7825","13"
"12","717828","9522","6"
"14","328977","922","13"
"4","788128","4575","-10"
"21","499000","2788","-3"
"13","576043","1208","-13"
"13","286480","5301","13"
"5","265525","1591","15"
"23","583694","1676","23"
"16","738241","1762","2"
"9","532086","8899","34"
"14","652695","730","32"
"6","570020","2876","16"
"6","304715","5564","28"
"17","950842","9280","-10"
"9","719757","4290","15"
"6","768647","9647","-1"
"7","532104","430","11"
"4","400696","2698","31"
"22","634284","5504","32"
"10","29084","8305","9"
"16","849746","6727","-10"
"14","718766","3580","43"
"14","235655","1002","-3"
"6","264049","1668","17"
"16","819052","4874","-10"
"3","405378","834","5"
"21","473032","7664","15"
"11","306395","6997","-4"
"6","785843","3482","4"
"18","815567","2146","-13"
"9","496252","8593","31"
"6","866881","5552","24"
"22","703967","6236","44"
"17","3064","2318","-13"
"2","689637","3533","-10"
"21","118689","7369","21"
"19","957577","2404","33"
"16","724608","2015","4"
"17","925308","6556","11"
"19","286333","9319","36"
"21","942136","60","44"
"21","148400","1704","28"
"5","576804","2704","-14"
"22","7689","541","48"
"8","923932","4438","17"
"4","239395","2076","21"
"14","225312","9765","28"
"14","439151","3938","-7"
"19","863930","9036","-4"
"12","345546","288","26"
"2","949676","7855","-7"
"15","991102","6763","5"
"7","772337","5879","40"
"23","474655","3310","-9"
"7","549438","8690","3"
"20","282735","2907","-5"
"20","325960","3813","12"
"6","508919","7314","49"
"12","372554","3304","20"
"10","549349","4898","30"
"3","491384","1689","31"
"9","46051","4745","45"
"21","379425","2514","13"
"21","670595","5339","-15"
"15","296428","914","30"
"7","56091","9363","43"
"3","71553","8065","-10"
"10","44939","8158","14"
"11","300771","8013","6"
"12","384321","6337","39"
"21","127882","7964","-8"
"11","514746","3531","-14"
"13","82526","6701","-3"
"12","678995","2355","49"
"4","446346","8714","16"
"19","846870","6215","15"
"1","677012","3581","0"
"23","564083","447","47"
"11","646950","2187","11"
"18","229022","4001","-15"
"21","776408","2840","-11"
"18","608458","988","29"
"14","60366","1874","20"
"3","327490","9786","-6"
"14","714912","3458","7"
"10","400157","5410","3"
"5","665662","6865","3"
"20","296362","2225","38"
"14","635348","8435","35"
"21","510255","5211","18"
"13","197723","7992","48"
"16","21735","2655","20"
"9","342896","1695","12"
"18","107027","4135","28"
"15","846670","5988","27"
"17","201301","5898","39"
"18","203806","2850","44"
"4","696844","7440","-9"
"12","903054","4823","5"
"5","273262","9047","-8"
"13","729080","3981","28"
"6","675359","8220","7"
"8","385347","1647","22"
"6","254373","4918","20"
"15","43242","2411","35"
"22","203162","5457","19"
"12","343862","3581","-3"
"1","939446","2570","-12"
"7","354532","2568","46"
"20","722950","1578","6"
"23","134529","9688","-13"
"7","516969","7154","-11"
"2","473507","640","7"
"11","613756","4213","43"
"17","385797","2038","29"
"21","413938","679","14"
"13","853694","9173","19"
"12","548031","3770","0"
"22","880659","5809","40"
"11","418482","3898","47"
"3","920777","5466","-2"
"9","322847","8203","12"
"6","585033","4211","17"
"22","139257","8642","23"
"7","692219","55","26"
"7","412124","8685","28"
"19","5557","364","-9"
"8","222795","303","-1"
"19","6600","2097","17"
"17","399413","4303","46"
"9","811862","6090","-13"
"2","120255","8095","-1"
"11","383868","4962","-4"
"17","299450","8761","36"
"5","806289","7925","13"
"1","488761","4099","12"
"21","21038","4787","40"
"7","827726","4794","25"
"23","591356","5233","35"
"23","39634","651","18"
"14","879217","3784","27"
"17","67330","7238","33"
"13","336926","5375","-12"
"5","366756","9865","31"
"9","74670","5355","30"
"12","130303","2029","34"
"5","572042","7541","44"
"2","571236","4935","38"
"23","754701","3062","-7"
"9","20295","9297","23"
"3","412193","9518","31"
"8","824438","9245","43"
"2","500748","4454","-10"
"4","278119","1497","47"
"19","748745","7600","15"
"19","779741","2001","4"
"18","161175","9211","-15"
"11","133322","7917","-4"
"3","875177","2274","45"
"17","410862","3882","38"
"7","553218","6709","49"
"17","294543","5367","11"
"10","348851","4200","-12"
"2","759968","3856","39"
"18","907466","8826","9"
"21","959095","1016","-14"
"1","341822","2830","41"
"15","762838","3908","21"
"19","989146","978","29"
"16","214927","3272","31"
"4","513618","7647","27"
"21","689980","2613","11"
"2","637776","2298","27"
"10","996845","1350","8"
"6","755890","8122","47"
"3","515715","4768","11"
"2","144479","921","25"
"1","16060","9435","33"
"19","827549","8764","49"
"3","831005","4445","35"
"3","664119","4212","26"
"11","422653","6784","42"
"19","76677","8478","43"
"7","608451","9264","7"
"16","694399","9947","-4"
"5","807076","9874","15"
"7","74002","8867","17"
"8","106173","3617","49"
"9","792639","3583","41"
"6","349029","2869","-8"
"20","791444","9508","48"
"7","270292","1016","36"
"14","295866","433","21"
"11","851741","8316","11"
"11","764161","697","42"
"14","530475","9445","18"
"17","902837","4739","43"
"7","549812","250","43"
"1","912196","8186","11"
"4","320956","274","-10"
"13","474323","9779","41"
"21","637522","7315","-5"
"16","65164","3038","-13"
"2","945606","3097","9"
"2","772147","1091","35"
"17","426394","5306","36"
"3","498284","8781","20"
"14","132410","7462","43"
"14","416278","7815","14"
"8","282582","1155","34"
"21","672620","8822","30"
"15","111933","2673","-14"
"5","605634","712","18"
"11","450588","8405","12"
"14","179977","1225","8"
"1","538165","6783","47"
"17","242612","43","0"
"22","347190","2414","35"
"21","345251","8753","38"
"8","466372","4162","28"
"19","723482","3812","38"
"5","986537","555","-5"
"12","978798","115","42"
"9","899805","5522","6"
"5","202380","3046","9"
"19","200534","7957","50"
"11","546817","6598","42"
"19","725026","5637","15"
"9","265569","5186","47"
"15","183483","1373","20"
"6","219151","4870","3"
"16","174850","3118","8"
"6","873248","2883","-10"
"1","276308","4629","27"
"20","854365","7689","41"
"7","803014","8456","38"
"7","534365","3258","-12"
"20","727935","9435","-2"
"9","604198","5992","-15"
"9","241789","4455","48"
"12","305907","8880","-1"
"7","284637","912","7"
"6","420837","1790","41"
"10","208526","2547","-12"
"20","516341","9746","37"
"20","641281","4875","36"
"20","868030","4380","43"
"18","936366","5214","-11"
"22","874569","9974","34"
"8","905815","4370","27"
"20","686327","1102","34"
"16","479526","3593","-4"
"9","710059","289","29"
"22","198201","1959","6"
"8","271277","101","21"
"3","240802","6581","5"
"6","464224","6740","-3"
"23","719461","618","5"
"7","191802","455","22"
"20","470276","4072","35"
"5","362128","7166","28"
"18","511023","4145","42"
"6","833350","3678","44"
"13","846238","4878","40"
"7","314528","3881","33"
"6","228899","3069","-13"
"4","577331","4540","38"
"11","405616","3852","37"
"2","478173","1652","3"
"12","299954","865","48"
"5","755787","7812","-4"
"14","687091","7225","0"
"11","696407","1414","8"
"15","865181","4688","3"
"22","941203","5717","24"
"18","150909","7313","24"
"1","434382","8647","12"
"9","986661","2592","22"
"20","696189","4473","15"
"12","851513","4242","-6"
"5","923446","7805","-8"
"18","237502","9559","11"
"12","263103","1391","-4"
"15","428158","5640","14"
"23","360431","7183","-10"
"19","389932","2932","17"
"3","44980","1997","-2"
"7","444809","2215","38"
"9","276602","2083","44"
"19","158974","2843","43"
"9","151506","5430","-11"
"19","201277","2790","-2"
"3","254640","6000","-10"
"1","166572","963","42"
"15","175848","3620","20"
"22","456213","5837","21"
"21","88019","1496","5"
"22","969431","3729","27"
"2","718467","3249","-8"
"6","167332","3465","47"
"9","801436","910","-5"
"17","264337","2723","34"
"9","556392","5749","42"
"22","532014","3405","46"
"13","896308","2378","8"
"18","546930","5746","39"
"2","498553","6222","11"
"8","723804","426","6"
"16","585927","3206","-6"
"12","438130","1343","-9"
"13","18305","4884","47"
"5","973664","3330","-9"
"6","558986","4548","49"
"22","391572","3894","-14"
"23","377229","3756","47"
"16","522242","5882","23"
"4","327243","7584","38"
"18","231704","684","8"
"1","271569","5723","20"
"3","519243","8945","30"
"1","622660","9829","-11"
"23","924323","3562","-9"
"12","319805","336","11"
"23","78834","4008","16"
"3","253742","6391","47"
"8","202003","8426","38"
"23","790433","2516","12"
"13","944367","8785","2"
"10","990460","3007","-11"
"11","987336","6027","39"
"17","681074","8896","12"
"14","585278","8649","32"
"16","676917","2767","-9"
"5","536022","2617","-9"
"13","434965","9621","-9"
"15","113639","1248","15"
"15","465735","5875","11"
"5","870062","6052","25"
"20","913095","8708","46"
"22","933953","8588","49"
"22","401141","9366","27"
"1","22909","3045","30"
"12","325133","6405","47"
"7","352562","5840","37"
"1","648050","527","34"
"8","47329","5686","3"
"14","37929","6139","12"
"19","1161","4139","-3"
"8","537016","9526","16"
"9","479665","5692","23"
"8","272847","7691","-15"
"6","103267","5398","7"
"6","853734","4771","43"
"22","650644","6262","45"
"19","214354","6854","25"
"20","915003","4029","23"
"15","394477","2859","-1"
"3","686808","9261","5"
"12","485280","8606","44"
"13","257215","185","0"
"15","706401","845","-14"
"12","83183","6242","4"
"20","842210","2318","8"
"15","147831","1416","28"
"21","727160","3448","45"
"17","570784","578","12"
"2","981139","9571","29"
"9","468530","3358","44"
"9","994821","9741","14"
"11","64767","3712","28"
"14","165018","4459","3"
"19","701039","8755","21"
"15","119260","2833","10"
"22","741847","3393","-5"
"21","755004","3018","26"
"22","589260","5461","29"
"18","617270","2288","24"
"12","498720","6863","11"
"19","10810","7846","9"
"9","319307","6023","-7"
"20","591407","1388","13"
"15","740667","4795","46"
"7","519851","8710","31"
"8","514392","3941","2"
"16","442623","9623","19"
"11","86499","8827","10"
"3","478130","5133","11"
"13","336466","2981","45"
"8","84681","10","24"
"6","3335","4528","5"
"1","330817","1101","39"
"9","92396","7747","-2"
"16","111942","6027","12"
"18","231983","3851","-15"
"14","10125","3801","13"
"15","8886","9586","18"
"10","689755","2332","-4"
"11","411318","6704","15"
"20","181308","9605","49"
"14","702991","1687","27"
"6","47080","8009","11"
"9","810865","4129","21"
"17","403649","6564","45"
"6","584031","4165","19"
"15","248907","4303","-14"
"14","817324","2279","44"
"19","745240","9722","47"
"18","144565","6420","18"
"2","391722","6822","-14"
"1","874861","114","-14"
"19","55120","5835","9"
"17","878921","2340","-12"
"18","10298","7229","28"
"11","440405","8983","0"
"9","365731","4424","-13"
"15","991795","6868","-2"
"3","341273","6666","37"
"1","726664","3364","2"
"13","261877","796","9"
"20","583632","2237","32"
"11","382223","4796","46"
"22","218577","6008","38"
"3","61732","5768","38"
"22","915081","5200","43"
"23","36121","2160","13"
"9","822413","6879","-13"
"14","813050","3717","24"
"9","186531","8499","-9"
"11","224670","7276","46"
"7","270529","9202","40"
"5","958667","798","-13"
"14","975773","9000","15"
"17","760330","9863","47"
"5","751745","7680","12"
"22","495356","5596","5"
"13","787170","9794","49"
"10","426437","5228","-8"
"10","71641","6807","17"
"19","319143","9011","-9"
"3","504478","7172","-4"
"4","726313","3053","30"
"23","593060","6420","-5"
"3","36798","7407","30"
"5","456786","1447","32"
"13","400286","189","40"
"12","706320","3512","39"
"23","188473","4624","42"
"3","375931","10000","49"
"19","376031","5341","5"
"3","649237","875","49"
"7","128882","4175","23"
"12","471270","634","-6"
"13","196978","1902","21"
"16","653763","2032","46"
"19","344000","7438","-15"
"19","516629","1778","11"
"17","273862","3708","17"
"23","358613","9004","22"
"5","180086","1360","18"
"5","300063","6705","8"
"17","361146","8927","24"
"13","290810","5350","24"
"20","561384","1357","45"
"17","326108","5630","20"
"13","385230","8061","-2"
"3","163622","2116","-1"
"14","866051","211","1"
"3","90877","4760","18"
"21","239213","4451","4"
"4","402320","8539","-9"
"22","464114","7437","9"
"23","106245","3400","43"
"16","110454","1748","10"
"16","541841","1926","19"
"6","817838","488","-1"
"5","438112","521","17"
"21","471933","1040","37"
"10","314569","7391","10"
"21","733066","6501","43"
"9","824305","782","-9"
"10","204525","315","25"
"9","943149","4395","-8"
